AS1,AS2,AS3,AS4,AS5,AS6,AS7,AS8,AS9,AS10,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,SC9,SC10,AD1,AD2,AD3,AD4,AD5,AD6,AD7,AD8,AD9,AD10,DO1,DO2,DO3,DO4,DO5,DO6,DO7,DO8,DO9,DO10,age,gender,AS,SC,AD,DO,final
2,2,2,2,2,2,4,3,4,2,4,2,1,2,2,3,3,2,4,3,2,3,4,5,3,2,3,4,3,3,2,3,3,2,3,2,2,3,2,2,33,1,25,26,32,24,AD
5,4,4,4,3,4,2,2,1,2,4,4,4,5,4,2,2,1,2,2,4,5,5,4,3,2,2,2,1,2,4,3,4,3,3,2,4,4,3,3,27,2,31,30,30,33,DO
4,4,4,4,3,3,3,3,3,2,3,4,1,4,3,2,3,3,4,3,2,4,4,2,4,4,2,4,2,3,4,4,2,2,2,2,2,3,1,1,32,2,33,30,31,23,AS
3,4,4,2,3,4,2,3,1,1,4,3,1,3,3,2,2,2,3,1,4,5,5,5,3,2,2,3,1,2,4,4,3,1,1,2,4,4,2,1,34,1,27,24,32,26,AD
5,5,5,5,5,5,1,1,1,1,5,5,5,5,5,1,1,1,1,1,5,5,5,5,1,1,1,1,1,1,5,5,4,4,4,3,5,4,4,4,34,1,34,30,26,42,DO
3,4,4,4,4,3,5,5,3,4,4,4,2,3,3,4,2,3,4,3,5,5,5,3,4,2,3,3,3,3,5,5,4,4,3,3,4,4,3,2,18,2,39,32,36,37,AS
3,3,2,3,3,4,3,3,2,1,3,3,4,3,2,3,3,2,3,3,5,5,5,5,3,2,2,2,2,2,3,3,3,4,3,3,4,4,4,3,29,2,27,29,33,34,DO
3,4,3,3,3,4,3,3,1,2,2,3,3,3,4,2,2,4,2,3,5,5,4,4,2,2,3,3,1,2,5,5,3,3,3,3,3,4,3,3,25,2,29,28,31,35,DO
5,5,5,5,4,4,3,3,1,1,4,4,2,5,4,2,2,2,3,3,5,4,5,5,3,4,2,3,2,4,4,4,4,4,4,2,4,4,3,2,29,1,36,31,37,35,AD
2,4,3,4,3,3,3,3,2,1,3,2,4,2,4,3,2,3,4,2,4,4,4,3,4,4,2,4,5,5,5,5,4,2,2,4,4,3,2,3,26,1,28,29,39,34,AD
4,5,4,5,4,5,2,2,1,1,4,3,3,4,5,3,1,1,3,1,5,5,5,4,3,1,1,2,1,1,5,4,3,3,4,4,5,5,3,3,35,2,33,28,28,39,DO
5,3,4,4,3,3,2,1,1,1,4,5,5,5,3,1,3,2,2,1,5,5,5,4,2,1,1,1,1,1,4,4,4,3,4,3,5,5,2,2,31,1,27,31,26,36,DO
4,2,3,3,4,3,1,3,1,1,3,1,3,4,3,1,2,2,1,4,5,5,5,5,3,2,2,4,1,1,5,5,3,1,1,1,5,4,1,2,26,1,25,24,33,28,AD
5,3,4,4,4,4,2,3,2,1,4,2,4,4,3,4,3,3,5,1,3,2,5,4,2,3,3,4,3,2,3,2,2,1,3,3,5,3,1,2,60,2,32,33,31,25,SC
5,4,4,4,5,4,4,3,2,2,2,4,3,4,3,2,2,3,4,2,5,5,5,4,2,4,2,1,1,3,5,5,5,4,2,4,5,4,4,2,18,2,37,29,32,40,DO
5,4,4,5,3,4,4,3,5,1,3,2,1,4,4,4,3,2,5,4,3,5,4,3,2,2,2,3,1,3,3,2,3,5,4,3,3,1,3,5,40,2,38,32,28,32,AS
4,4,3,4,4,4,3,2,1,2,2,2,1,3,4,5,2,4,4,2,3,3,4,4,4,3,4,4,2,2,5,5,4,3,3,4,4,4,3,3,28,2,31,29,33,38,DO
4,3,3,4,3,3,3,3,2,2,4,4,4,4,4,2,2,2,2,2,3,3,4,4,2,2,2,2,2,2,3,3,3,2,3,3,4,3,2,2,31,1,30,30,26,28,AS
3,3,4,5,3,3,3,3,2,1,3,3,5,4,4,2,1,4,3,2,4,5,5,4,2,2,1,2,1,1,3,2,4,2,4,2,4,4,2,2,21,2,30,31,27,29,SC
4,5,3,4,2,3,3,3,2,2,4,2,4,4,4,4,2,3,4,3,4,2,4,3,3,2,2,2,4,3,3,2,2,2,2,2,3,3,2,1,54,2,31,34,29,22,SC
2,3,4,4,4,4,3,3,3,4,2,2,2,2,4,4,3,4,4,2,5,5,5,5,2,1,1,1,1,1,4,4,5,5,5,4,5,5,4,4,27,1,34,29,27,45,DO
4,4,4,4,2,4,3,3,3,2,4,3,3,4,3,3,3,4,4,2,2,4,4,3,4,2,3,4,1,2,4,4,3,2,3,2,4,4,2,2,36,1,33,33,29,30,AS
4,5,4,3,4,3,3,2,2,3,3,2,3,3,3,4,3,3,4,3,5,5,3,3,2,3,3,4,2,3,2,2,2,2,2,2,3,3,2,1,52,2,33,31,33,21,AS
5,4,5,4,3,5,2,2,1,1,4,4,5,5,4,2,2,3,2,1,4,5,5,5,2,2,2,2,4,3,5,5,5,4,4,4,4,4,4,3,32,2,32,32,34,42,DO
5,4,4,4,3,4,2,2,1,1,4,4,5,5,4,2,2,4,2,1,4,4,4,5,2,2,2,2,4,2,5,4,5,4,4,4,4,4,4,3,32,2,30,33,31,41,DO
3,2,3,2,4,4,4,4,3,3,2,2,4,3,3,4,4,2,4,4,2,5,5,5,2,4,4,4,2,2,4,3,2,2,3,2,3,2,2,2,46,2,32,32,35,25,AD
4,4,3,3,3,4,2,2,1,1,5,4,3,4,3,2,2,2,2,2,4,4,4,4,2,2,2,3,2,3,4,3,2,2,3,2,4,4,2,2,54,2,27,29,30,28,AD
5,5,4,4,2,4,3,3,1,2,4,4,3,5,2,1,2,3,2,2,4,5,5,2,3,1,1,2,2,2,4,4,5,4,4,3,5,4,3,3,33,1,33,28,27,39,DO
4,4,3,5,2,4,2,1,2,4,2,2,2,4,5,3,1,4,4,4,2,4,4,4,4,4,4,4,4,2,4,4,5,4,4,4,4,4,4,4,28,2,31,31,36,41,DO
4,4,4,4,3,4,2,2,1,2,4,4,3,4,3,1,2,1,1,1,4,5,5,3,1,1,1,2,1,2,4,2,3,2,4,2,3,3,2,3,39,2,30,24,25,28,AS
4,3,3,3,0,3,3,3,4,2,3,3,2,3,3,3,3,2,2,3,3,4,4,4,3,3,2,2,3,3,3,3,3,3,3,3,4,3,3,2,32,1,28,27,31,30,AD
4,2,2,3,3,3,4,5,3,2,1,1,2,4,3,5,3,5,5,2,3,3,5,4,3,4,3,5,1,1,4,4,4,2,4,2,5,5,1,2,55,1,31,31,32,33,DO
4,4,4,5,3,3,3,5,5,2,5,5,5,4,5,1,2,3,2,1,5,5,5,5,3,2,3,4,1,2,4,5,3,3,5,3,2,3,3,2,23,2,38,33,35,33,AS
3,2,4,4,3,5,3,3,2,2,4,3,2,3,5,2,1,2,3,2,4,5,4,3,4,2,3,4,2,3,3,2,4,4,4,4,3,3,3,2,23,2,31,27,34,32,AD
5,5,5,5,5,5,4,4,1,1,5,5,5,5,5,1,1,1,4,1,5,5,5,5,2,2,2,4,2,4,4,4,4,2,5,4,5,5,2,4,32,1,40,33,36,39,AS
2,2,4,2,2,3,5,5,5,1,3,4,4,2,3,2,3,3,2,3,5,5,5,5,1,1,1,3,3,3,3,3,4,3,3,2,2,2,3,2,34,2,31,29,32,27,AD
4,5,4,4,0,4,2,2,2,2,2,4,2,4,4,2,2,4,2,4,4,4,4,4,2,1,1,2,1,2,5,5,5,4,4,4,4,4,2,2,22,1,29,30,25,39,DO
5,4,4,5,5,0,2,1,1,1,4,4,4,4,5,2,1,1,3,2,4,4,5,5,2,1,1,1,1,2,3,3,3,4,4,4,4,4,2,2,49,1,28,30,26,33,DO
4,5,5,4,4,0,2,2,1,1,3,3,3,4,4,3,1,2,3,1,5,5,5,5,1,1,1,4,3,2,5,5,4,3,4,4,4,4,3,4,41,1,28,27,32,40,DO
4,5,4,4,4,5,1,2,1,2,4,4,4,4,4,2,2,2,2,2,5,5,5,4,2,2,2,4,2,2,5,5,2,3,4,4,4,4,4,2,27,1,32,30,33,37,DO
2,4,4,2,3,4,4,2,1,2,4,2,2,2,4,4,3,3,4,2,5,5,5,5,2,4,2,2,1,2,4,4,4,3,2,2,2,2,2,2,30,2,28,30,33,27,AD
5,4,4,5,3,4,2,2,1,1,5,5,4,5,4,1,1,2,2,2,3,5,5,4,2,2,2,4,1,1,1,1,4,4,5,4,5,4,2,0,22,1,31,31,29,30,AS
3,3,3,3,4,3,3,3,2,3,5,4,4,4,3,3,3,3,3,2,4,4,3,4,2,2,2,2,2,2,4,4,4,3,4,3,3,4,2,3,54,2,30,34,27,34,SC
3,4,4,4,3,4,2,2,2,1,4,2,2,3,4,4,2,2,4,2,4,4,5,5,2,2,2,3,1,2,4,4,4,4,4,3,4,5,4,3,38,1,29,29,30,39,DO
5,4,4,4,5,5,2,2,1,1,5,4,4,4,4,2,1,1,4,1,5,5,5,5,2,2,2,1,1,2,4,4,4,3,4,4,4,4,4,4,40,2,33,30,30,39,DO
4,3,3,3,3,4,2,2,2,1,4,4,2,3,2,4,3,2,2,1,4,5,5,4,2,3,3,3,2,2,4,5,4,3,4,3,4,5,3,2,43,1,27,27,33,37,DO
5,4,3,3,4,3,3,3,1,1,5,3,4,4,0,3,2,1,3,2,4,4,4,4,3,1,1,2,2,2,4,3,2,2,2,2,2,2,2,2,58,1,30,27,27,23,AS
3,2,2,3,2,2,4,4,3,3,2,1,2,3,3,4,4,4,4,3,3,3,3,4,4,3,3,4,3,4,3,2,3,2,2,2,3,3,2,2,23,2,28,30,34,24,AD
5,5,4,4,4,4,2,1,1,1,1,3,5,5,5,2,1,1,3,1,4,5,5,5,2,1,1,3,1,3,4,3,4,2,2,2,3,3,1,1,42,1,31,27,30,25,AS
4,4,3,3,3,3,3,3,1,2,5,5,3,4,3,2,4,2,2,3,4,4,5,5,3,1,2,2,1,1,4,4,3,3,3,2,3,3,3,2,30,0,29,33,28,30,SC
5,2,2,4,0,2,4,3,1,1,4,3,2,5,2,2,2,3,4,2,4,3,2,4,2,1,1,4,1,0,4,4,2,2,2,2,5,2,2,2,26,1,24,29,22,27,SC
2,4,2,4,1,3,4,2,1,1,4,3,2,2,4,2,1,2,4,2,2,4,4,4,4,4,4,4,2,4,5,5,4,2,4,2,3,3,2,2,45,2,24,26,36,32,AD
4,4,4,4,3,3,2,3,2,2,4,4,4,4,4,2,3,2,3,2,3,4,4,3,3,2,2,3,2,3,3,2,4,3,4,3,4,3,2,4,45,2,31,32,29,32,SC
4,4,4,3,4,4,2,2,1,1,4,3,3,4,4,1,1,2,3,3,3,4,5,5,3,1,1,2,2,1,4,4,2,2,1,2,3,5,1,3,31,1,29,28,27,27,AS
5,4,4,5,3,4,2,3,1,1,5,4,5,4,5,2,1,1,3,1,2,5,5,5,2,2,2,3,1,1,5,3,4,2,2,3,4,4,4,2,30,1,32,31,28,33,DO
2,5,4,3,4,5,2,3,1,1,3,2,1,2,2,4,4,3,4,1,5,5,5,5,1,1,1,3,1,1,5,4,5,5,5,4,5,5,3,4,31,1,30,26,28,45,DO
4,3,4,4,4,4,3,2,3,2,4,3,2,4,4,3,2,1,4,2,4,5,5,5,2,1,1,2,1,1,2,2,1,1,2,1,4,4,2,2,50,2,33,29,27,21,AS
2,4,4,4,4,4,2,4,1,1,4,4,2,2,4,4,2,4,4,4,4,4,4,4,2,2,2,2,4,2,2,2,4,2,2,2,4,4,2,4,58,2,30,34,30,28,SC
5,4,4,5,3,4,2,2,5,2,5,5,5,4,5,1,1,1,1,2,5,4,5,5,2,1,1,2,1,2,5,5,2,2,3,4,3,3,1,2,27,1,36,30,28,30,AS
3,4,4,3,3,3,4,3,3,1,2,3,1,2,1,3,4,4,3,4,3,4,4,4,3,1,1,3,3,2,3,2,4,4,4,4,4,3,4,2,18,1,31,27,28,34,DO
5,5,5,4,4,4,2,2,2,5,5,3,3,4,4,2,2,2,2,2,4,4,4,4,2,2,2,2,2,2,2,2,2,2,3,4,4,4,3,2,34,1,38,29,28,28,AS
4,1,1,1,1,3,5,3,3,3,4,1,1,4,1,3,3,3,3,3,3,5,5,3,3,3,3,3,3,3,4,1,1,1,1,1,1,1,1,1,14,2,25,26,34,13,AD
5,5,4,5,4,4,2,3,1,1,5,4,5,5,5,2,1,1,3,2,4,5,5,5,2,2,2,2,1,2,2,2,2,2,2,2,4,4,1,3,40,2,34,33,30,24,AS
4,3,2,4,2,3,3,2,1,2,3,2,1,4,3,4,2,2,4,2,2,4,5,4,4,3,2,3,2,2,3,3,2,2,3,2,4,3,2,2,36,1,26,27,31,26,AD
4,5,4,4,3,4,2,2,1,1,5,3,4,4,5,3,1,1,3,5,4,4,4,4,3,1,1,1,2,3,4,4,3,3,3,3,4,4,2,1,52,1,30,34,27,31,SC
3,4,3,2,0,4,2,2,4,2,3,2,3,3,2,3,3,2,4,2,3,4,4,3,2,3,2,4,1,2,3,2,4,4,4,4,4,4,4,3,21,1,26,27,28,36,DO
4,3,2,4,3,4,4,2,1,2,4,2,1,3,2,4,2,3,4,3,2,5,5,3,4,2,2,2,2,2,3,4,2,2,3,2,3,3,2,2,36,1,29,28,29,26,AS
4,2,1,3,2,1,2,2,3,3,4,2,3,3,2,3,4,3,4,4,3,4,4,4,2,2,2,3,5,4,2,1,3,1,3,2,2,2,1,1,55,2,23,32,33,18,AD
4,4,3,4,4,3,3,3,1,1,4,4,3,4,4,4,2,2,4,2,4,5,5,5,2,1,1,4,2,2,4,4,4,4,4,2,4,2,2,2,26,1,30,33,31,32,SC
4,2,3,4,3,3,4,3,1,1,4,2,3,4,4,4,2,3,4,1,5,5,5,5,2,2,3,3,2,2,4,4,4,3,4,4,4,4,3,3,25,1,28,31,34,37,DO
4,4,5,4,4,4,1,2,1,1,4,4,4,4,4,1,1,1,1,1,5,5,5,5,2,1,1,1,1,1,4,4,3,1,2,4,3,3,2,2,27,2,30,25,27,28,AS
3,4,3,3,3,3,4,4,4,3,5,4,4,3,4,2,2,2,3,4,5,5,4,4,3,3,3,3,2,2,3,4,4,3,4,3,2,4,4,4,31,2,34,33,34,35,DO
5,4,4,5,4,4,2,3,1,1,4,3,4,4,5,3,1,3,4,3,5,4,4,3,3,3,3,4,1,2,2,2,3,2,3,3,4,4,3,3,36,1,33,34,32,29,SC
2,2,1,3,2,3,4,3,1,2,3,2,1,3,2,5,2,3,5,4,2,4,5,4,4,3,3,4,2,4,3,3,5,1,2,2,3,2,2,2,36,1,23,30,35,25,AD
4,4,3,3,4,4,2,3,2,1,3,4,4,4,3,2,2,3,2,2,4,4,5,5,3,2,2,2,1,2,4,4,4,2,4,3,4,4,4,2,30,1,30,29,30,35,DO
5,4,4,4,3,4,2,2,1,1,5,4,4,5,4,1,1,1,1,1,4,4,5,4,2,3,1,1,1,1,4,3,2,3,2,3,3,2,2,2,65,1,30,27,26,26,AS
5,4,5,5,4,4,1,1,1,1,5,3,3,5,5,3,1,1,3,1,5,5,5,1,1,1,1,1,1,1,5,5,5,3,4,2,5,5,2,4,24,2,31,30,22,40,DO
4,3,3,4,4,4,3,0,2,2,4,4,4,4,3,2,2,2,2,2,4,4,4,4,2,2,2,3,5,2,4,4,3,3,3,3,3,4,3,4,47,2,29,29,32,34,DO
5,5,5,5,3,4,2,2,2,1,4,5,5,5,4,1,1,4,1,1,3,4,5,5,2,4,4,3,1,1,2,2,4,4,4,4,3,4,4,2,24,2,34,31,32,33,AS
5,4,3,5,3,4,2,2,1,1,3,2,2,5,4,5,2,4,4,1,2,4,5,3,4,4,3,5,1,3,4,2,4,3,5,3,5,5,0,3,27,1,30,32,34,34,AD
5,4,4,4,4,4,2,4,1,1,4,3,4,4,3,4,3,2,4,2,5,5,5,5,2,2,2,2,2,2,3,3,2,2,3,2,3,3,1,1,59,2,33,33,32,23,AS
4,3,3,4,3,2,3,3,2,2,4,4,4,4,4,2,2,2,4,2,4,5,5,5,3,4,2,2,1,1,4,4,4,2,4,2,4,3,1,1,34,2,29,32,32,29,SC
2,4,4,3,4,2,3,4,2,2,2,4,4,2,4,4,2,4,4,2,4,4,4,4,2,2,2,2,2,2,4,4,4,2,4,2,4,4,2,2,42,1,30,32,28,32,SC
4,3,3,3,2,3,3,3,4,2,5,4,2,4,3,2,2,1,2,2,3,3,3,2,4,4,4,4,2,4,3,2,4,3,3,4,4,4,4,3,43,2,30,27,33,34,DO
5,3,3,4,4,4,1,1,1,1,5,4,5,5,5,1,1,2,2,1,5,5,5,5,1,1,1,1,1,1,5,4,4,3,4,3,5,4,3,3,59,2,27,31,26,38,DO
1,2,2,2,2,4,5,4,4,1,4,1,2,2,3,4,2,1,3,2,5,5,5,5,5,2,2,4,1,1,1,1,1,1,1,1,1,5,1,1,19,2,27,24,35,14,AD
3,4,5,4,4,4,2,3,1,1,4,5,3,3,4,3,1,3,3,1,4,5,5,5,2,1,1,2,1,2,3,2,3,3,4,2,1,4,5,2,24,1,31,30,28,29,AS
4,2,4,4,3,3,2,2,2,1,5,4,4,4,4,1,2,2,3,3,5,5,5,5,2,1,1,2,2,2,4,2,2,2,2,3,2,4,1,4,29,1,27,32,30,26,SC
5,4,5,4,5,4,2,3,1,1,2,4,4,5,3,2,2,4,2,2,4,4,5,5,2,2,2,3,4,3,2,2,3,3,3,4,5,5,3,4,54,1,34,30,34,34,AS
5,5,5,5,5,5,1,1,1,1,5,4,4,5,5,1,1,1,1,1,5,5,4,5,1,1,1,3,1,1,5,4,3,5,5,3,3,5,1,3,59,2,34,28,27,37,DO
5,4,3,5,3,4,1,3,1,1,5,4,5,5,5,1,1,1,1,1,4,5,5,5,2,2,1,2,1,2,5,4,2,1,1,1,1,4,1,1,56,2,30,29,29,21,AS
1,1,1,1,1,1,5,5,2,3,3,1,1,2,1,5,5,4,5,5,3,5,3,3,3,4,4,3,1,5,3,4,4,2,2,2,1,1,2,1,42,1,21,32,34,22,AD
5,4,4,5,4,3,3,3,1,1,3,5,5,5,5,2,2,3,3,1,2,3,4,3,3,2,3,4,4,4,4,4,5,5,5,5,5,5,5,5,38,1,33,34,32,48,DO
4,5,5,4,5,5,1,2,2,2,5,5,4,4,2,2,2,4,4,2,4,5,5,4,2,4,1,4,1,4,4,4,2,2,2,2,4,4,1,2,25,1,35,34,34,27,AS
4,4,3,4,3,4,2,2,2,2,5,4,4,4,4,2,2,1,1,1,4,5,5,5,2,2,2,2,2,2,2,2,3,2,2,2,3,4,2,2,44,2,30,28,31,24,AD
3,3,2,3,3,3,4,3,1,2,4,3,2,3,3,3,3,2,3,4,5,4,4,4,4,3,2,4,2,3,3,3,3,2,4,3,3,4,2,2,22,2,27,30,35,29,AD
2,5,5,3,2,5,3,3,1,4,3,4,4,4,2,2,2,3,2,4,2,5,5,5,2,2,2,3,4,3,4,4,3,2,2,1,5,4,3,2,25,2,33,30,33,30,AS
5,5,5,5,5,5,1,5,1,1,5,5,5,5,5,1,1,1,5,1,5,5,5,5,1,0,1,5,1,5,5,1,5,1,5,1,5,5,1,1,55,1,38,34,33,30,AS
3,2,3,3,3,3,2,2,2,2,2,3,3,3,3,4,3,2,4,2,4,4,4,3,3,2,2,3,2,2,3,3,2,2,3,2,3,3,2,2,30,1,25,29,29,25,SC
2,5,4,4,2,4,1,3,1,1,1,1,1,1,4,5,2,5,5,2,4,5,5,2,2,4,2,2,1,3,4,4,4,4,5,2,4,5,2,4,31,1,27,27,30,38,DO
5,5,4,4,4,4,2,2,1,1,5,5,4,5,4,1,1,1,1,2,5,5,5,5,1,1,1,1,1,1,5,5,4,2,4,4,4,4,3,3,41,1,32,29,26,38,DO
4,4,4,4,4,4,3,3,2,1,4,3,3,4,3,3,2,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,28,1,33,31,34,28,AD
3,4,2,3,3,4,4,3,1,1,4,2,4,3,2,4,3,1,2,1,4,4,4,5,1,1,1,4,1,2,4,4,4,2,5,2,5,5,4,4,28,1,28,26,27,39,DO
3,4,4,3,4,5,2,4,1,1,3,1,2,2,1,5,5,3,5,2,1,1,3,4,3,2,2,5,4,3,3,4,4,4,4,3,4,4,5,5,33,2,31,29,28,40,DO
4,3,4,4,4,4,3,4,1,1,2,1,2,4,3,5,3,2,5,3,2,3,5,4,4,3,3,4,4,4,3,4,4,5,4,3,4,4,5,5,33,2,32,30,36,41,DO
4,3,3,4,3,4,3,3,1,2,4,4,4,4,4,2,2,2,2,2,4,4,4,4,2,2,2,2,2,2,4,4,3,2,2,2,4,4,2,2,32,2,30,30,28,29,AS
4,4,4,4,3,4,3,3,1,1,4,2,3,4,4,3,1,3,3,1,4,5,5,5,2,2,1,3,1,1,3,3,3,3,4,3,3,4,2,2,36,1,31,28,29,30,AS
4,5,5,5,4,4,2,3,1,1,5,5,4,4,5,1,1,1,1,1,3,5,5,5,3,2,2,4,3,2,5,5,4,3,2,4,4,4,3,3,30,1,34,28,34,37,DO
2,4,3,3,3,4,3,3,2,1,4,3,2,3,3,4,2,3,3,1,3,5,5,5,4,3,2,4,2,3,3,4,3,2,2,3,2,4,3,2,31,2,28,28,36,28,AD
4,2,2,3,2,3,4,4,4,2,4,3,2,4,3,4,2,3,4,3,4,4,4,4,4,2,1,4,1,2,2,2,3,2,3,3,4,3,2,2,26,1,30,32,30,26,SC
5,5,3,5,4,3,1,3,1,2,4,4,4,4,4,2,2,2,2,2,5,4,4,4,3,3,1,2,1,1,4,4,2,3,4,3,3,4,4,4,34,2,32,30,28,35,DO
4,4,4,5,4,4,3,3,2,1,5,5,5,4,4,2,2,2,2,1,4,4,4,4,2,2,2,2,2,2,5,5,3,3,4,4,4,4,4,4,30,2,34,32,28,40,DO
2,5,4,3,5,5,2,3,2,2,3,3,3,2,3,3,2,2,2,1,5,5,4,5,3,3,2,3,2,2,4,3,4,4,4,4,5,4,3,3,42,1,33,24,34,38,DO
4,3,3,3,3,3,2,2,3,1,4,4,3,4,2,2,2,1,4,2,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,4,3,1,2,35,1,27,28,28,22,SC
5,4,4,5,4,4,2,2,1,1,5,5,5,5,5,1,1,1,1,2,4,5,5,4,2,2,2,2,1,2,4,5,4,4,5,3,5,4,4,5,30,1,32,31,29,43,DO
4,4,5,4,3,4,1,4,1,1,3,4,5,4,5,2,2,2,3,1,1,2,5,5,2,2,2,4,2,1,5,4,3,2,4,2,5,4,2,3,32,1,31,31,26,34,DO
4,4,4,4,4,4,2,2,1,1,5,5,5,5,5,1,1,1,3,1,4,5,5,4,1,1,1,3,1,1,4,4,3,3,4,2,4,5,1,3,57,1,30,32,26,33,DO
5,5,5,3,4,3,3,3,1,1,1,1,3,5,2,5,4,5,5,1,2,5,5,5,5,1,1,4,5,3,4,4,2,3,4,5,5,5,5,5,40,2,33,32,36,42,DO
5,5,4,0,4,5,2,2,1,2,5,4,4,5,4,2,1,1,2,1,5,5,5,5,2,1,1,2,1,1,5,5,4,4,4,3,4,4,4,4,26,1,30,29,28,41,DO
3,5,4,3,5,5,4,4,1,1,3,3,4,3,3,4,3,4,4,3,5,5,5,5,1,1,4,3,3,1,4,4,3,3,4,3,3,5,3,1,24,1,35,34,33,33,AS
4,5,4,4,3,4,1,2,1,1,4,3,4,5,4,4,1,1,1,2,3,4,4,4,2,2,2,3,2,2,4,3,3,2,4,2,4,4,2,3,31,1,29,29,28,31,DO
5,4,2,5,3,4,2,1,1,1,5,5,5,5,3,2,1,1,4,2,5,5,5,5,1,1,1,1,1,2,2,1,1,3,4,1,5,5,1,4,48,1,28,33,27,27,SC
2,4,4,4,3,3,2,3,2,1,4,3,4,3,4,2,2,1,2,1,5,4,5,5,1,1,1,2,1,1,4,2,2,1,2,2,4,3,2,2,31,1,28,26,26,24,AS
4,3,3,3,3,3,3,3,2,5,3,3,4,4,3,3,2,3,4,2,3,5,5,5,2,2,2,2,2,2,3,3,2,2,3,2,4,4,1,1,46,1,32,31,30,25,AS
5,5,5,5,3,3,3,3,1,1,5,1,5,5,0,1,1,1,3,1,5,5,3,3,1,1,1,1,1,1,1,1,1,2,3,3,4,2,1,1,38,1,34,23,22,19,AS
4,3,4,5,5,4,2,1,1,1,5,5,4,4,5,4,2,1,2,2,5,5,5,4,3,2,1,3,1,4,2,2,3,2,4,4,4,4,1,2,33,2,30,34,33,28,SC
4,4,4,4,3,3,3,2,2,2,4,4,3,4,5,2,0,2,1,1,4,5,5,5,2,2,2,2,1,2,4,4,3,2,2,3,4,4,1,2,21,1,31,26,30,29,AS
4,5,5,4,4,4,2,2,1,4,2,3,2,4,4,2,2,3,2,2,3,2,4,5,4,4,2,4,4,4,2,2,4,4,4,4,4,4,2,4,31,1,35,26,36,34,AD
5,5,4,5,4,4,2,2,1,1,4,5,5,5,4,1,2,2,2,1,5,5,5,5,2,2,2,3,2,2,4,4,3,4,2,3,4,3,4,2,62,1,33,31,33,33,AS
4,3,2,5,2,3,4,3,2,1,3,2,1,4,4,4,2,4,4,4,2,2,5,4,4,3,3,2,1,2,2,2,4,2,1,1,4,4,2,1,26,1,29,32,28,23,SC
5,5,5,5,4,4,2,2,2,1,5,4,5,5,5,2,2,2,2,2,5,4,4,4,2,2,2,2,2,2,4,4,4,4,4,4,4,4,2,2,59,2,35,34,29,36,DO
4,4,0,3,3,4,2,2,1,1,4,3,3,4,3,1,1,1,3,2,5,5,5,5,2,1,1,3,3,1,4,4,3,3,4,4,4,4,2,3,38,1,24,25,31,35,DO
5,5,4,5,3,4,2,4,4,4,5,4,4,5,4,2,2,1,2,1,5,5,5,3,3,4,4,4,1,4,2,2,4,2,4,3,4,5,2,1,25,2,40,30,38,29,AS
5,4,4,4,5,4,2,2,1,1,4,4,4,4,3,2,2,2,2,1,5,5,5,5,2,1,1,2,2,4,4,4,4,3,4,3,4,4,2,3,64,1,32,28,32,35,DO
5,4,4,5,3,2,2,5,2,1,5,5,5,5,4,1,1,1,1,1,5,5,5,5,3,1,1,5,1,2,5,4,3,5,4,4,4,4,4,2,16,2,33,29,33,39,DO
4,4,3,4,4,4,2,2,1,1,5,4,4,4,4,2,2,1,3,2,3,5,5,5,3,2,2,2,1,2,5,5,4,3,4,4,4,5,3,2,23,1,29,31,30,39,DO
4,4,4,3,4,4,2,2,3,1,3,3,4,4,3,3,2,4,3,1,4,5,5,5,2,2,1,2,2,1,1,1,4,3,2,2,4,4,1,2,42,2,31,30,29,24,AS
4,4,4,4,5,5,2,3,2,1,4,3,4,4,3,3,2,3,3,2,5,4,5,4,3,3,3,2,2,3,4,4,4,4,2,3,2,4,2,2,43,2,34,31,34,31,AS
3,4,3,4,3,3,2,3,4,1,3,3,2,4,4,4,3,2,3,2,3,5,4,3,3,2,3,3,1,3,4,4,3,2,4,3,4,3,2,3,30,1,30,30,30,32,DO
5,4,5,4,4,5,2,4,1,1,3,5,5,5,4,4,4,4,4,1,5,5,4,4,1,2,2,4,3,4,5,4,5,4,1,4,5,4,2,1,24,2,35,39,34,35,SC
2,2,3,3,3,4,4,4,4,4,2,2,1,2,3,3,2,4,4,4,2,2,4,3,4,4,3,4,1,3,4,4,4,3,4,4,2,3,3,1,20,1,33,27,30,32,AS
4,2,2,2,2,2,4,4,3,2,2,2,3,4,2,4,3,4,4,2,4,5,4,5,4,3,2,3,2,1,3,4,4,2,2,2,3,3,1,1,19,2,27,30,33,25,AD
1,2,2,3,2,2,5,4,4,3,2,1,3,2,4,5,2,5,4,3,2,5,5,4,3,2,2,5,1,4,4,4,4,1,4,1,4,4,3,3,25,1,28,31,33,32,AD
1,2,4,4,4,4,1,1,1,1,2,1,1,1,2,5,1,3,5,2,5,5,5,5,2,1,1,2,1,2,3,4,2,2,5,3,5,5,5,4,30,2,23,23,29,38,DO
3,3,2,4,2,3,4,4,4,3,3,4,2,3,4,3,2,2,4,2,2,4,4,3,4,2,2,4,2,4,4,3,2,2,3,3,3,3,4,2,21,1,32,29,31,29,AS
